nCH	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6		Pulse	Threshold
 [04]	00306	00627	00648	00607	01000	01000		00046	-2506
 [04]	00306	00627	00648	00607	01000	01000		-0017	-2663
 [04]	00306	00627	00648	00607	01000	01000		00049	-2334
 [04]	00306	00627	00648	00607	01000	01000		-0017	-2572
 [04]	00306	00641	00672	00610	01000	01000		00666	-2508
 [04]	00306	00641	00672	00610	01000	01000		-0017	-2959
 [04]	00306	00641	00672	00610	01000	01000		00065	-2831
 [04]	00306	00641	00672	00610	01000	01000		-0016	-3378
 [04]	00306	00641	00672	00610	01000	01000		00048	-2717
 [04]	00306	00641	00672	00610	01000	01000		-0017	-2755
 [04]	00306	00641	00672	00610	01000	01000		00046	-2602
 [04]	00306	00641	00672	00610	01000	01000		-0016	-3189
 [04]	00306	00641	00672	00610	01000	01000		00050	-2737
 [04]	00306	00641	00672	00610	01000	01000		-0016	-3105
 [04]	00306	00648	00684	00612	01000	01000		00666	-3013
 [04]	00306	00648	00684	00612	01000	01000		-0016	-3445
 [04]	00306	00648	00684	00612	01000	01000		00065	-2679
 [04]	00306	00648	00684	00612	01000	01000		-0017	-2947
 [04]	00306	00648	00684	00612	01000	01000		00048	-2880
 [04]	00306	00648	00684	00612	01000	01000		-0016	-3245
 [04]	00306	00648	00684	00612	01000	01000		00046	-2455
 [04]	00306	00648	00684	00612	01000	01000		-0017	-2763
 [04]	00306	00648	00684	00612	01000	01000		00049	-2284
 [04]	00306	00648	00684	00612	01000	01000		-0017	-2672
 [04]	00306	00651	00690	00613	01000	01000		00666	-2466
 [04]	00306	00651	00690	00613	01000	01000		-0017	-3057
 [04]	00306	00651	00690	00613	01000	01000		00065	-2775
 [04]	00306	00651	00690	00613	01000	01000		-0016	-3448
 [04]	00306	00651	00690	00613	01000	01000		00049	-3288
 [04]	00306	00651	00690	00613	01000	01000		-0016	-3136
 [04]	00306	00651	00690	00613	01000	01000		00046	-2550
 [04]	00306	00651	00690	00613	01000	01000		-0016	-3254
 [04]	00306	00651	00690	00613	01000	01000		00050	-2642
 [04]	00306	00651	00690	00613	01000	01000		-0016	-3162
 [04]	00306	00653	00693	00613	01000	01000		00666	-2924
 [04]	00306	00653	00693	00613	01000	01000		-0016	-3501
 [04]	00306	00653	00693	00613	01000	01000		00066	-3231
 [04]	00306	00653	00693	00613	01000	01000		-0016	-3303
 [04]	00306	00653	00693	00613	01000	01000		00048	-2808
 [04]	00306	00653	00693	00613	01000	01000		-0016	-3299
 [04]	00306	00653	00693	00613	01000	01000		00047	-3006
 [04]	00306	00653	00693	00613	01000	01000		-0016	-3112
 [04]	00306	00653	00693	00613	01000	01000		00050	-2850
 [04]	00306	00653	00693	00613	01000	01000		-0016	-3006
 [04]	00306	00654	00694	00613	01000	01000		00666	-3036
 [04]	00306	00654	00694	00613	01000	01000		-0016	-3397
 [04]	00306	00654	00694	00613	01000	01000		00065	-2706
 [04]	00306	00654	00694	00613	01000	01000		-0017	-2883
 [04]	00306	00654	00694	00613	01000	01000		00048	-2927
 [04]	00306	00654	00694	00613	01000	01000		-0016	-3190
 [04]	00306	00654	00694	00613	01000	01000		00046	-2488
 [04]	00306	00654	00694	00613	01000	01000		-0017	-2704
 [04]	00306	00654	00694	00613	01000	01000		00049	-2312
 [04]	00306	00654	00694	00613	01000	01000		-0017	-2594
 [04]	00306	00654	00695	00613	01000	01000		00666	-2573
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3559
 [04]	00306	00654	00695	00613	01000	01000		00066	-3121
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3356
 [04]	00306	00654	00695	00613	01000	01000		00048	-2738
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3353
 [04]	00306	00654	00695	00613	01000	01000		00047	-2897
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3170
 [04]	00306	00654	00695	00613	01000	01000		00050	-2770
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3072
 [04]	00306	00654	00695	00613	01000	01000		00666	-2945
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3463
 [04]	00306	00654	00695	00613	01000	01000		00066	-3288
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3249
 [04]	00306	00654	00695	00613	01000	01000		00048	-2857
